127.0.0.1 - - [24/Feb/2016:09:28:39 +0800] "GET / HTTP/1.1" 200 11418
127.0.0.1 - - [24/Feb/2016:09:32:23 +0800] "GET /chp-loan/a/login HTTP/1.1" 200 8433
127.0.0.1 - - [24/Feb/2016:09:32:23 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [24/Feb/2016:09:32:31 +0800] "POST /chp-loan/a/login HTTP/1.1" 302 -
127.0.0.1 - - [24/Feb/2016:09:32:33 +0800] "GET /chp-loan/a?login HTTP/1.1" 200 14234
127.0.0.1 - - [24/Feb/2016:09:32:33 +0800] "GET /chp-loan/a/tab HTTP/1.1" 200 1672
127.0.0.1 - - [24/Feb/2016:09:32:33 +0800] "GET /chp-loan/a/sys/menu/tree?parentId=e80b3686709249639d7856b161a0cb25 HTTP/1.1" 200 19055
127.0.0.1 - - [24/Feb/2016:09:32:35 +0800] "GET /chp-loan/a/sys/menu/tree?parentId=ebf03dce30ce486d8f6b0e5135552e9e HTTP/1.1" 200 93922
127.0.0.1 - - [24/Feb/2016:09:32:42 +0800] "GET /chp-loan/a/borrow/borrowlist/fetchTaskItems?queue=HJ_CUSTOMER_AGENT&viewName=loanflow_borrowlist_workItems HTTP/1.1" 200 11886
127.0.0.1 - - [24/Feb/2016:09:32:42 +0800] "GET /chp-loan/js/common.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Feb/2016:09:32:42 +0800] "GET /chp-loan/js/consult/show.js HTTP/1.1" 404 3552
127.0.0.1 - - [24/Feb/2016:09:32:42 +0800] "GET /chp-loan/My97DatePicker/WdatePicker.js HTTP/1.1" 404 3563
127.0.0.1 - - [24/Feb/2016:09:32:42 +0800] "GET /chp-loan/js/consult/show.js HTTP/1.1" 404 3552
127.0.0.1 - - [24/Feb/2016:09:32:50 +0800] "GET /chp-loan/a/bpm/flowController/openForm?applyId=HJ00012016020400002&wobNum=51A418C7FB7FF540A18FCF375DA95B07&dealType=0&token= HTTP/1.1" 200 134665
127.0.0.1 - - [24/Feb/2016:09:32:50 +0800] "GET /chp-loan/js/launch/creditFormat.js HTTP/1.1" 200 1878
127.0.0.1 - - [24/Feb/2016:09:32:50 +0800] "GET /chp-loan/js/launch/house.js HTTP/1.1" 200 1995
127.0.0.1 - - [24/Feb/2016:09:32:50 +0800] "GET /chp-loan/js/launch/addContact.js HTTP/1.1" 200 1026
127.0.0.1 - - [24/Feb/2016:09:32:50 +0800] "GET /chp-loan/js/consult/loanLaunch.js HTTP/1.1" 200 24067
127.0.0.1 - - [24/Feb/2016:09:32:50 +0800] "GET /chp-loan/js/launch/contactFormat.js HTTP/1.1" 200 846
127.0.0.1 - - [24/Feb/2016:09:32:50 +0800] "GET /chp-loan/js/launch/coborrowerFormat.js HTTP/1.1" 200 4075
127.0.0.1 - - [24/Feb/2016:09:32:51 +0800] "GET /chp-loan/js/storereview/loanFlowStoreReview.js HTTP/1.1" 200 4266
127.0.0.1 - - [24/Feb/2016:09:32:51 +0800] "GET /chp-loan/js/certificate.js HTTP/1.1" 200 3720
127.0.0.1 - - [24/Feb/2016:09:32:51 +0800] "GET /chp-loan/js/pageinit/areaselect.js HTTP/1.1" 200 3421
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadCity HTTP/1.1" 200 1732
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadDistrict HTTP/1.1" 200 820
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadDistrict HTTP/1.1" 200 1732
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadDistrict HTTP/1.1" 200 2440
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadCity HTTP/1.1" 200 820
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadCity HTTP/1.1" 200 2440
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadDistrict HTTP/1.1" 200 1039
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/prdmng/asynLoadPrdMonths HTTP/1.1" 200 36
127.0.0.1 - - [24/Feb/2016:09:32:52 +0800] "POST /chp-loan/a/common/cityinfo/asynLoadCity HTTP/1.1" 200 1096
