127.0.0.1 - - [23/Apr/2016:10:24:33 +0800] "GET / HTTP/1.1" 200 11418
127.0.0.1 - - [23/Apr/2016:10:31:42 +0800] "GET /user/index HTTP/1.1" 404 971
127.0.0.1 - - [23/Apr/2016:10:31:42 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [23/Apr/2016:10:31:51 +0800] "GET /wxbsite/user/index HTTP/1.1" 302 -
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/user/login HTTP/1.1" 200 22534
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/css/font-awesome.min.css HTTP/1.1" 200 21984
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/css/style.css HTTP/1.1" 200 77760
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/css/style-metronic.css HTTP/1.1" 200 50251
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/css/bootstrap.min.css HTTP/1.1" 200 99548
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/newcss/index.css?v=1.0 HTTP/1.1" 200 10593
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/script/jquery-1.10.2.min.js HTTP/1.1" 200 93063
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/script/jquery.cookie.min.js HTTP/1.1" 200 1392
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/script/bootstrap.min.js HTTP/1.1" 200 27822
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/script/win.js HTTP/1.1" 200 42091
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/script/underscore-min.js HTTP/1.1" 200 14642
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/script/back-to-top.js HTTP/1.1" 200 3114
127.0.0.1 - - [23/Apr/2016:10:31:52 +0800] "GET /wxbsite/wxb/script/app.js HTTP/1.1" 200 11958
